comparison_id,entity_id,sequence_no,input_hash,ats_a,state_a,ats_b,state_b,ats_c,state_c,consistent_state,ats_delta_ab,ats_delta_ac,ats_delta_bc,comparison_notes
entity-06-suspicious-22,entity-06-suspicious,22,0xf25f260fb38f4641dd96f2316635401b4dcc80a025d9c0854f36e3125f9992e9,,,58,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-23,entity-01-normal,23,0x4298d8eff07b42a5c805cf4028e4d26b2c041ffdba05fe21233f6db9ec170bf7,,,93,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-23,entity-02-normal,23,0x1602e1129325b85b49d77971235840495b3255b51c9b8e655347cb27685a815a,,,93,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-23,entity-03-normal,23,0x8ff26a4c50d7eb081ff575fc8ad1896ce29e0fd1b4b8a46a30926da190a82863,,,92,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-23,entity-04-normal,23,0x860934e73651365827d5c85f209accfd3e77fc8e6c11befc269e064ff00d950b,,,93,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-23,entity-05-suspicious,23,0x42586e5edef30143a25b4a1f44b2210812a37030d7b284aa660ca72cea48910b,,,58,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-23,entity-06-suspicious,23,0x6c58809e2c449d01f304121f5912d00ecb0b6a83248051da05fa621850330d5b,,,61,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-24,entity-01-normal,24,0xe55b3314dc23d44a6110285f1a05ed9b695f0fa00cd03241ec452f5d3da53515,,,92,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-24,entity-02-normal,24,0x757550be661f34715ed2915cda223e278bb558d4365de9b8df8d9dd8cc36f5e0,,,91,Trusted,,,true,,,,B live result matches expected state
entity-03-normal-24,entity-03-normal,24,0xb1c464d7ed74d5fc0550bc3055e34b7c321ede380d67cb700dc1afeab7634ff5,,,92,Trusted,,,true,,,,B live result matches expected state
entity-04-normal-24,entity-04-normal,24,0x5faa759b45aa54d303bc3f12caecdd7070a00ebad2010c0793e07360d150349a,,,92,Trusted,,,true,,,,B live result matches expected state
entity-05-suspicious-24,entity-05-suspicious,24,0x4aa374e00122b1127de4be96c1380c23581766cfb1b05de53219ee81f57885ba,,,61,Suspicious,,,true,,,,B live result matches expected state
entity-06-suspicious-24,entity-06-suspicious,24,0x11a63f86e8886b3fcea8d473720bda4ada247fa3bc9dd81495e0f80a38b89312,,,61,Suspicious,,,true,,,,B live result matches expected state
entity-01-normal-25,entity-01-normal,25,0x4d8db7610d483df00d0af650bab393aa26959667dc2889ff98778ee59ed4503c,,,92,Trusted,,,true,,,,B live result matches expected state
entity-02-normal-25,entity-02-normal,25,0x01e0ffd607e58518582db1bf59b31922a23e776f646d6ea99d1fd09552706e4b,,,92,Trusted,,,true,,,,B live result matches expected state
